ID,Category,2-3 Word Search Topic,Recommended Google Search Query,Output Spec
68,Stage Lights & Spotlights,Cool White Spotlight,Cool White Spotlight transparent PNG 4K,4K PNG (32-bit RGBA)
69,Stage Lights & Spotlights,Dual Stage Spotlights,Dual Stage Spotlights transparent PNG 4K,4K PNG (32-bit RGBA)
70,Stage Lights & Spotlights,Triple Spotlight Array,Triple Spotlight Array transparent PNG 4K,4K PNG (32-bit RGBA)
71,Stage Lights & Spotlights,Top Down Spotlight,Top Down Spotlight transparent PNG 4K,4K PNG (32-bit RGBA)
72,Stage Lights & Spotlights,Bottom Uplight Beam,Bottom Uplight Beam transparent PNG 4K,4K PNG (32-bit RGBA)
73,Stage Lights & Spotlights,Center Focal Spotlight,Center Focal Spotlight transparent PNG 4K,4K PNG (32-bit RGBA)
74,Stage Lights & Spotlights,Soft Edge Spotlight,Soft Edge Spotlight transparent PNG 4K,4K PNG (32-bit RGBA)
75,Stage Lights & Spotlights,Hard Edge Beam,Hard Edge Beam transparent PNG 4K,4K PNG (32-bit RGBA)
76,Stage Lights & Spotlights,Atmospheric Light Cone,Atmospheric Light Cone transparent PNG 4K,4K PNG (32-bit RGBA)
77,Stage Lights & Spotlights,Volumetric Stage Haze,Volumetric Stage Haze transparent PNG 4K,4K PNG (32-bit RGBA)
78,Stage Lights & Spotlights,Stage Dust Particles,Stage Dust Particles transparent PNG 4K,4K PNG (32-bit RGBA)
79,Stage Lights & Spotlights,Concert Lighting Shaft,Concert Lighting Shaft transparent PNG 4K,4K PNG (32-bit RGBA)
80,Stage Lights & Spotlights,Theater Stage Beam,Theater Stage Beam transparent PNG 4K,4K PNG (32-bit RGBA)
81,"Sunbeams, Rays & Flares",Golden God Ray,Golden God Ray transparent PNG 4K,4K PNG (32-bit RGBA)
82,"Sunbeams, Rays & Flares",Atmospheric Sunbeam,Atmospheric Sunbeam transparent PNG 4K,4K PNG (32-bit RGBA)
83,"Sunbeams, Rays & Flares",Forest Canopy Sunray,Forest Canopy Sunray transparent PNG 4K,4K PNG (32-bit RGBA)
84,"Sunbeams, Rays & Flares",Cloud Light Dispersion,Cloud Light Dispersion transparent PNG 4K,4K PNG (32-bit RGBA)
85,"Sunbeams, Rays & Flares",Lens Flare Sparkle,Lens Flare Sparkle transparent PNG 4K,4K PNG (32-bit RGBA)
86,"Sunbeams, Rays & Flares",Optical Star Flare,Optical Star Flare transparent PNG 4K,4K PNG (32-bit RGBA)
87,"Sunbeams, Rays & Flares",Anamorphic Flare Streak,Anamorphic Flare Streak transparent PNG 4K,4K PNG (32-bit RGBA)
88,"Sunbeams, Rays & Flares",Sunburst Ray Burst,Sunburst Ray Burst transparent PNG 4K,4K PNG (32-bit RGBA)
89,"Sunbeams, Rays & Flares",Prism Spectrum Ray,Prism Spectrum Ray transparent PNG 4K,4K PNG (32-bit RGBA)
90,"Sunbeams, Rays & Flares",Rainbow Light Flare,Rainbow Light Flare transparent PNG 4K,4K PNG (32-bit RGBA)
91,"Sunbeams, Rays & Flares",Window Light Shadow,Window Light Shadow transparent PNG 4K,4K PNG (32-bit RGBA)
92,"Sunbeams, Rays & Flares",Blinds Light Pattern,Blinds Light Pattern transparent PNG 4K,4K PNG (32-bit RGBA)
93,"Sunbeams, Rays & Flares",Tree Shadow Light,Tree Shadow Light transparent PNG 4K,4K PNG (32-bit RGBA)
94,"Sunbeams, Rays & Flares",Morning Sun Ray,Morning Sun Ray transparent PNG 4K,4K PNG (32-bit RGBA)
95,"Sunbeams, Rays & Flares",Sunset Golden Light,Sunset Golden Light transparent PNG 4K,4K PNG (32-bit RGBA)
96,"Neon, Cyberpunk & Lasers",Cyan Neon Glow,Cyan Neon Glow transparent PNG 4K,4K PNG (32-bit RGBA)
97,"Neon, Cyberpunk & Lasers",Magenta Laser Beam,Magenta Laser Beam transparent PNG 4K,4K PNG (32-bit RGBA)
98,"Neon, Cyberpunk & Lasers",Cyberpunk Grid Glow,Cyberpunk Grid Glow transparent PNG 4K,4K PNG (32-bit RGBA)
99,"Neon, Cyberpunk & Lasers",Neon Circle Ring,Neon Circle Ring transparent PNG 4K,4K PNG (32-bit RGBA)
100,"Neon, Cyberpunk & Lasers",Neon Frame Border,Neon Frame Border transparent PNG 4K,4K PNG (32-bit RGBA)
101,"Neon, Cyberpunk & Lasers",Holographic Light Ray,Holographic Light Ray transparent PNG 4K,4K PNG (32-bit RGBA)
102,"Neon, Cyberpunk & Lasers",Plasma Energy Wave,Plasma Energy Wave transparent PNG 4K,4K PNG (32-bit RGBA)
103,"Neon, Cyberpunk & Lasers",Laser Grid Lines,Laser Grid Lines transparent PNG 4K,4K PNG (32-bit RGBA)
104,"Neon, Cyberpunk & Lasers",Electric Spark Glow,Electric Spark Glow transparent PNG 4K,4K PNG (32-bit RGBA)
105,"Neon, Cyberpunk & Lasers",Fibre Optic Strands,Fibre Optic Strands transparent PNG 4K,4K PNG (32-bit RGBA)
106,"Neon, Cyberpunk & Lasers",Glowing Portal Ring,Glowing Portal Ring transparent PNG 4K,4K PNG (32-bit RGBA)
107,"Neon, Cyberpunk & Lasers",Futuristic Light Bar,Futuristic Light Bar transparent PNG 4K,4K PNG (32-bit RGBA)
108,"Neon, Cyberpunk & Lasers",Synthwave Light Grid,Synthwave Light Grid transparent PNG 4K,4K PNG (32-bit RGBA)
109,"Neon, Cyberpunk & Lasers",Neon Arrow Icon,Neon Arrow Icon transparent PNG 4K,4K PNG (32-bit RGBA)
110,"Neon, Cyberpunk & Lasers",Neon Crosshair Target,Neon Crosshair Target transparent PNG 4K,4K PNG (32-bit RGBA)
111,"Powders, Sand & Particles",Sand Explosion Blast,Sand Explosion Blast transparent PNG 4K,4K PNG (32-bit RGBA)
112,"Powders, Sand & Particles",Desert Sand Wave,Desert Sand Wave transparent PNG 4K,4K PNG (32-bit RGBA)
113,"Powders, Sand & Particles",Golden Grain Spray,Golden Grain Spray transparent PNG 4K,4K PNG (32-bit RGBA)
114,"Powders, Sand & Particles",Cyan Powder Burst,Cyan Powder Burst transparent PNG 4K,4K PNG (32-bit RGBA)
115,"Powders, Sand & Particles",Magenta Powder Cloud,Magenta Powder Cloud transparent PNG 4K,4K PNG (32-bit RGBA)
116,"Powders, Sand & Particles",Holi Color Blast,Holi Color Blast transparent PNG 4K,4K PNG (32-bit RGBA)
117,"Powders, Sand & Particles",White Flour Explosion,White Flour Explosion transparent PNG 4K,4K PNG (32-bit RGBA)
118,"Powders, Sand & Particles",Black Charcoal Dust,Black Charcoal Dust transparent PNG 4K,4K PNG (32-bit RGBA)
119,"Powders, Sand & Particles",Crushed Spice Powder,Crushed Spice Powder transparent PNG 4K,4K PNG (32-bit RGBA)
120,"Powders, Sand & Particles",Volcanic Ash Cloud,Volcanic Ash Cloud transparent PNG 4K,4K PNG (32-bit RGBA)
121,"Powders, Sand & Particles",Dispersed Particle Blast,Dispersed Particle Blast transparent PNG 4K,4K PNG (32-bit RGBA)
122,"Powders, Sand & Particles",Disintegration Effect,Disintegration Effect transparent PNG 4K,4K PNG (32-bit RGBA)
123,"Powders, Sand & Particles",Dust Mote Particles,Dust Mote Particles transparent PNG 4K,4K PNG (32-bit RGBA)
124,"Powders, Sand & Particles",Floating Gold Dust,Floating Gold Dust transparent PNG 4K,4K PNG (32-bit RGBA)
125,"Powders, Sand & Particles",Cosmic Dust Spray,Cosmic Dust Spray transparent PNG 4K,4K PNG (32-bit RGBA)
126,"Smoke, Fog & Clouds",Dense White Smoke,Dense White Smoke transparent PNG 4K,4K PNG (32-bit RGBA)
127,"Smoke, Fog & Clouds",Thin Smoke Trail,Thin Smoke Trail transparent PNG 4K,4K PNG (32-bit RGBA)
128,"Smoke, Fog & Clouds",Whispy Smoke Swirl,Whispy Smoke Swirl transparent PNG 4K,4K PNG (32-bit RGBA)
129,"Smoke, Fog & Clouds",Colored Smoke Ring,Colored Smoke Ring transparent PNG 4K,4K PNG (32-bit RGBA)
130,"Smoke, Fog & Clouds",Cinematic Fog Overlay,Cinematic Fog Overlay transparent PNG 4K,4K PNG (32-bit RGBA)
131,"Smoke, Fog & Clouds",Ground Heavy Fog,Ground Heavy Fog transparent PNG 4K,4K PNG (32-bit RGBA)
132,"Smoke, Fog & Clouds",Atmospheric Haze Layer,Atmospheric Haze Layer transparent PNG 4K,4K PNG (32-bit RGBA)
133,"Smoke, Fog & Clouds",Cloud Cluster Cutout,Cloud Cluster Cutout transparent PNG 4K,4K PNG (32-bit RGBA)
134,"Smoke, Fog & Clouds",Cumulus Cloud Puff,Cumulus Cloud Puff transparent PNG 4K,4K PNG (32-bit RGBA)
135,"Smoke, Fog & Clouds",Storm Cloud Fragment,Storm Cloud Fragment transparent PNG 4K,4K PNG (32-bit RGBA)
136,"Smoke, Fog & Clouds",Steam Vapor Burst,Steam Vapor Burst transparent PNG 4K,4K PNG (32-bit RGBA)
137,"Smoke, Fog & Clouds",Dry Ice Fog Wave,Dry Ice Fog Wave transparent PNG 4K,4K PNG (32-bit RGBA)
138,"Smoke, Fog & Clouds",Exhaust Smoke Wisps,Exhaust Smoke Wisps transparent PNG 4K,4K PNG (32-bit RGBA)
139,"Smoke, Fog & Clouds",Explosion Smoke Plume,Explosion Smoke Plume transparent PNG 4K,4K PNG (32-bit RGBA)
140,"Smoke, Fog & Clouds",Mystical Magic Smoke,Mystical Magic Smoke transparent PNG 4K,4K PNG (32-bit RGBA)
141,"Confetti, Ribbons & Party",Gold Foil Confetti,Gold Foil Confetti transparent PNG 4K,4K PNG (32-bit RGBA)
142,"Confetti, Ribbons & Party",Silver Foil Confetti,Silver Foil Confetti transparent PNG 4K,4K PNG (32-bit RGBA)
143,"Confetti, Ribbons & Party",Multicolor Paper Confetti,Multicolor Paper Confetti transparent PNG 4K,4K PNG (32-bit RGBA)
144,"Confetti, Ribbons & Party",Confetti Burst Explosion,Confetti Burst Explosion transparent PNG 4K,4K PNG (32-bit RGBA)
145,"Confetti, Ribbons & Party",Curled Ribbon Streamer,Curled Ribbon Streamer transparent PNG 4K,4K PNG (32-bit RGBA)
146,"Confetti, Ribbons & Party",Gold Metallic Ribbon,Gold Metallic Ribbon transparent PNG 4K,4K PNG (32-bit RGBA)
147,"Confetti, Ribbons & Party",Party Popper Spray,Party Popper Spray transparent PNG 4K,4K PNG (32-bit RGBA)
148,"Confetti, Ribbons & Party",Celebration Star Burst,Celebration Star Burst transparent PNG 4K,4K PNG (32-bit RGBA)
149,"Confetti, Ribbons & Party",Sparkling Glitter Cloud,Sparkling Glitter Cloud transparent PNG 4K,4K PNG (32-bit RGBA)
150,"Confetti, Ribbons & Party",Championship Ticker Tape,Championship Ticker Tape transparent PNG 4K,4K PNG (32-bit RGBA)
151,"Confetti, Ribbons & Party",Pastel Confetti Dots,Pastel Confetti Dots transparent PNG 4K,4K PNG (32-bit RGBA)
152,"Confetti, Ribbons & Party",Geometric Confetti Squares,Geometric Confetti Squares transparent PNG 4K,4K PNG (32-bit RGBA)
153,"Confetti, Ribbons & Party",Heart Shaped Confetti,Heart Shaped Confetti transparent PNG 4K,4K PNG (32-bit RGBA)
154,"Confetti, Ribbons & Party",Circle Paper Confetti,Circle Paper Confetti transparent PNG 4K,4K PNG (32-bit RGBA)
155,"Confetti, Ribbons & Party",Floating Party Ribbons,Floating Party Ribbons transparent PNG 4K,4K PNG (32-bit RGBA)
156,"Glitter, Sparkles & Flares",Gold Glitter Spray,Gold Glitter Spray transparent PNG 4K,4K PNG (32-bit RGBA)
157,"Glitter, Sparkles & Flares",Silver Sparkle Dust,Silver Sparkle Dust transparent PNG 4K,4K PNG (32-bit RGBA)
158,"Glitter, Sparkles & Flares",Holographic Glitter,Holographic Glitter transparent PNG 4K,4K PNG (32-bit RGBA)
159,"Glitter, Sparkles & Flares",Diamond Sparkle Flare,Diamond Sparkle Flare transparent PNG 4K,4K PNG (32-bit RGBA)
160,"Glitter, Sparkles & Flares",Magic Fairy Dust,Magic Fairy Dust transparent PNG 4K,4K PNG (32-bit RGBA)
161,"Glitter, Sparkles & Flares",Bokeh Light Orbs,Bokeh Light Orbs transparent PNG 4K,4K PNG (32-bit RGBA)
162,"Glitter, Sparkles & Flares",Glowing Particle Cluster,Glowing Particle Cluster transparent PNG 4K,4K PNG (32-bit RGBA)
163,"Glitter, Sparkles & Flares",Sparkler Fire Effect,Sparkler Fire Effect transparent PNG 4K,4K PNG (32-bit RGBA)
164,"Glitter, Sparkles & Flares",Golden Star Sparkles,Golden Star Sparkles transparent PNG 4K,4K PNG (32-bit RGBA)
165,"Glitter, Sparkles & Flares",Cosmic Stardust Cloud,Cosmic Stardust Cloud transparent PNG 4K,4K PNG (32-bit RGBA)
166,"Anime, Speed Lines & Action",Radial Speed Spikes,Radial Speed Spikes transparent PNG 4K,4K PNG (32-bit RGBA)
167,"Anime, Speed Lines & Action",Horizontal Motion Blur,Horizontal Motion Blur transparent PNG 4K,4K PNG (32-bit RGBA)
168,"Anime, Speed Lines & Action",Manga Impact Burst,Manga Impact Burst transparent PNG 4K,4K PNG (32-bit RGBA)
169,"Anime, Speed Lines & Action",Comic Action Lines,Comic Action Lines transparent PNG 4K,4K PNG (32-bit RGBA)
170,"Anime, Speed Lines & Action",Focus Zoom Rays,Focus Zoom Rays transparent PNG 4K,4K PNG (32-bit RGBA)
171,"Anime, Speed Lines & Action",Kinetic Energy Slash,Kinetic Energy Slash transparent PNG 4K,4K PNG (32-bit RGBA)
172,"Anime, Speed Lines & Action",Sword Slice Effect,Sword Slice Effect transparent PNG 4K,4K PNG (32-bit RGBA)
173,"Anime, Speed Lines & Action",Lightning Bolt Burst,Lightning Bolt Burst transparent PNG 4K,4K PNG (32-bit RGBA)
174,"Anime, Speed Lines & Action",Shockwave Ring Wave,Shockwave Ring Wave transparent PNG 4K,4K PNG (32-bit RGBA)
175,"Anime, Speed Lines & Action",Fireball Burst Particle,Fireball Burst Particle transparent PNG 4K,4K PNG (32-bit RGBA)
176,"Ink, Paint & Splatters",Black Ink Splatter,Black Ink Splatter transparent PNG 4K,4K PNG (32-bit RGBA)
177,"Ink, Paint & Splatters",Color Paint Drip,Color Paint Drip transparent PNG 4K,4K PNG (32-bit RGBA)
178,"Ink, Paint & Splatters",Watercolor Texture Wash,Watercolor Texture Wash transparent PNG 4K,4K PNG (32-bit RGBA)
179,"Ink, Paint & Splatters",Dry Brush Stroke,Dry Brush Stroke transparent PNG 4K,4K PNG (32-bit RGBA)
180,"Ink, Paint & Splatters",Calligraphy Ink Blot,Calligraphy Ink Blot transparent PNG 4K,4K PNG (32-bit RGBA)
181,"Ink, Paint & Splatters",Acrylic Paint Splash,Acrylic Paint Splash transparent PNG 4K,4K PNG (32-bit RGBA)
182,"Ink, Paint & Splatters",Spray Paint Mist,Spray Paint Mist transparent PNG 4K,4K PNG (32-bit RGBA)
183,"Ink, Paint & Splatters",Stamp Ink Imprint,Stamp Ink Imprint transparent PNG 4K,4K PNG (32-bit RGBA)
184,"Ink, Paint & Splatters",Marbled Ink Swirl,Marbled Ink Swirl transparent PNG 4K,4K PNG (32-bit RGBA)
185,"Ink, Paint & Splatters",Graffiti Paint Spray,Graffiti Paint Spray transparent PNG 4K,4K PNG (32-bit RGBA)
186,"Frames, Shapes & Badges",Gold Metallic Frame,Gold Metallic Frame transparent PNG 4K,4K PNG (32-bit RGBA)
187,"Frames, Shapes & Badges",Vintage Ornament Frame,Vintage Ornament Frame transparent PNG 4K,4K PNG (32-bit RGBA)
188,"Frames, Shapes & Badges",Grunge Distressed Border,Grunge Distressed Border transparent PNG 4K,4K PNG (32-bit RGBA)
189,"Frames, Shapes & Badges",Geometric Poly Ring,Geometric Poly Ring transparent PNG 4K,4K PNG (32-bit RGBA)
190,"Frames, Shapes & Badges",Badge Emblem Cutout,Badge Emblem Cutout transparent PNG 4K,4K PNG (32-bit RGBA)
191,"Frames, Shapes & Badges",Ribbon Banner Label,Ribbon Banner Label transparent PNG 4K,4K PNG (32-bit RGBA)
192,"Frames, Shapes & Badges",Sale Tag Cutout,Sale Tag Cutout transparent PNG 4K,4K PNG (32-bit RGBA)
193,"Frames, Shapes & Badges",Discount Starburst,Discount Starburst transparent PNG 4K,4K PNG (32-bit RGBA)
194,"Frames, Shapes & Badges",Neon Sign Frame,Neon Sign Frame transparent PNG 4K,4K PNG (32-bit RGBA)
195,"Frames, Shapes & Badges",Ripped Paper Frame,Ripped Paper Frame transparent PNG 4K,4K PNG (32-bit RGBA)
196,"Nature, Fire & Elements",Flame Fire Spark,Flame Fire Spark transparent PNG 4K,4K PNG (32-bit RGBA)
197,"Nature, Fire & Elements",Ember Particle Glow,Ember Particle Glow transparent PNG 4K,4K PNG (32-bit RGBA)
198,"Nature, Fire & Elements",Water Splash Droplet,Water Splash Droplet transparent PNG 4K,4K PNG (32-bit RGBA)
199,"Nature, Fire & Elements",Water Ripple Ring,Water Ripple Ring transparent PNG 4K,4K PNG (32-bit RGBA)
200,"Nature, Fire & Elements",Ice Crystal Frost,Ice Crystal Frost transparent PNG 4K,4K PNG (32-bit RGBA)
201,"Nature, Fire & Elements",Lightning Spark Branch,Lightning Spark Branch transparent PNG 4K,4K PNG (32-bit RGBA)
202,"Nature, Fire & Elements",Falling Green Leaves,Falling Green Leaves transparent PNG 4K,4K PNG (32-bit RGBA)
203,"Nature, Fire & Elements",Autumn Dried Leaf,Autumn Dried Leaf transparent PNG 4K,4K PNG (32-bit RGBA)
204,"Nature, Fire & Elements",Flower Petal Burst,Flower Petal Burst transparent PNG 4K,4K PNG (32-bit RGBA)
205,"Nature, Fire & Elements",Feather Floating Cutout,Feather Floating Cutout transparent PNG 4K,4K PNG (32-bit RGBA)
